set nodes := 1 2 3 4 5 6 7 8 9 10 11;

set pipes := 0 1 2 3 4 5 6 7;

param : arcs : L :=
1    2    4828.0
2    3    1609.0
3    4    1609.0
2    5    1609.0
5    6    1609.0
6    7    1609.0
4    7    1609.0
5    8    1609.0
6    9    1609.0
7    10    1609.0
8    9    1609.0
9    10    1609.0
10    11    1609.0;

param E :=
1   400.0
2   320.04
3   326.14
4   323.23
5   298.7
6   295.66
7   292.61
8   289.56
9   289.56
10   292.61
11   289.56;

param P :=
1   0.0
2   28.18
3   17.61
4   17.61
5   35.22
6   35.22
7   35.22
8   35.22
9   35.22
10   35.22
11   35.22;

param D :=
1   -145.13000000000002
2   12.62
3   12.62
4   0.0
5   18.93
6   18.93
7   18.93
8   12.62
9   18.93
10   18.93
11   12.62;

param d :=
0   152.0
1   203.0
2   254.0
3   305.0
4   356.0
5   407.0
6   458.0
7   509.0;

param C :=
0   49.54
1   63.0
2   95.0
3   133.0
4   171.0
5   195.0
6   233.0
7   264.0;

param R :=
0   120.0
1   120.0
2   120.0
3   120.0
4   120.0
5   120.0
6   120.0
7   120.0;

param Source := 1;


param : F_arcs : F_L :=;

param F_d :=;

param F_R :=;

param vmax := 
1    2    50.0
2    3    50.0
3    4    50.0
2    5    50.0
5    6    50.0
6    7    50.0
4    7    50.0
5    8    50.0
6    9    50.0
7    10    50.0
8    9    50.0
9    10    50.0
10    11    50.0;
